ImageFlag,ID,x3D (m),y3D (m),z3D (m)
000-14,1,-0.0407,0.0571,3.4338
,1,-0.0476,0.1262,3.4891
,1,-0.0455,0.5103,3.4763
,1,-0.0408,0.7021,3.4534
,1,-0.2058,0.3751,3.4629
,1,-0.2687,0.0775,3.459
,1,-0.2789,-0.1715,3.3724
,1,-0.2732,-0.2548,3.3384
,1,0.1311,0.3765,3.5031
,1,0.1895,0.088,3.5293
,1,0.2246,-0.1743,3.4466
,1,0.221,-0.2497,3.4119
,1,-0.116,-0.018,3.4152
,1,-0.1366,-0.5632,3.4842
,1,-0.1337,-0.9361,3.5152
,1,-0.1685,-1.0012,3.4478
,1,0.0364,-0.0195,3.4331
,1,0.0783,-0.567,3.5057
,1,0.1197,-0.9369,3.5344
,1,0.1548,-0.9988,3.502
001-14,1,-0.1006,0.1765,3.0612
,1,-0.1036,0.2488,3.0956
,1,-0.1203,0.6236,3.0791
,1,-0.1146,0.8316,3.0345
,1,-0.3181,0.5207,3.1002
,1,-0.4641,0.3124,3.1844
,1,-0.3976,0.0803,3.0792
,1,-0.3794,0.0079,3.0311
,1,0.0854,0.5255,3.0974
,1,0.2575,0.3348,3.1881
,1,0.1727,0.0933,3.143
,1,0.153,0.0078,3.1293
,1,-0.1867,0.0834,3.053
,1,-0.2731,-0.5071,3.1262
,1,-0.2868,-0.9376,3.1379
,1,-0.3002,-1.0001,3.093
,1,-0.006,0.0885,3.0556
,1,0.0623,-0.5327,3.154
,1,0.1196,-0.9238,3.1602
,1,0.143,-0.9971,3.0878
002-14,1,0.2679,0.2701,3.1707
,1,0.2694,0.346,3.1689
,1,0.2745,0.7247,3.1541
,1,0.2778,0.9341,3.1368
,1,0.0973,0.6161,3.1921
,1,0.0398,0.3395,3.2262
,1,0.0409,0.0961,3.1559
,1,0.0443,-0.0074,3.1363
,1,0.4546,0.6079,3.1481
,1,0.5282,0.3131,3.1324
,1,0.5158,0.0659,3.0844
,1,0.5044,-0.0388,3.0669
,1,0.1866,0.1889,3.187
,1,0.1415,-0.3982,3.2601
,1,0.1045,-0.7809,3.3429
,1,0.0605,-0.8372,3.2872
,1,0.3475,0.188,3.1549
,1,0.3698,-0.3978,3.2471
,1,0.3518,-0.7795,3.282
,1,0.3549,-0.8523,3.2138
003-14,1,-0.0522,0.1581,3.3906
,1,-0.0513,0.2292,3.4023
,1,-0.0632,0.5875,3.3967
,1,-0.0777,0.7866,3.3554
,1,-0.2376,0.4728,3.4234
,1,-0.2791,0.1928,3.4394
,1,-0.3141,-0.0568,3.4117
,1,-0.3288,-0.1523,3.3706
,1,0.1084,0.4729,3.3548
,1,0.2113,0.1821,3.3878
,1,0.2478,-0.0647,3.3357
,1,0.2358,-0.1586,3.2903
,1,-0.1283,0.0776,3.4021
,1,-0.1375,-0.4517,3.4947
,1,-0.1071,-0.8153,3.5459
,1,-0.1211,-0.8958,3.5123
,1,0.0277,0.0805,3.372
,1,0.122,-0.4525,3.4215
,1,0.1686,-0.8247,3.5046
,1,0.2179,-0.9158,3.4673
006-14,6,0.0276,0.1868,2.8952
,6,0.0252,0.2532,2.8995
,6,0.0117,0.5863,2.8901
,6,0.0237,0.7454,2.8316
,6,-0.1616,0.4719,2.9117
,6,-0.1914,0.2262,2.9142
,6,-0.1887,0.0049,2.8453
,6,-0.1958,-0.095,2.8229
,6,0.1631,0.4957,2.8988
,6,0.212,0.2283,2.9668
,6,0.2374,-0.0052,2.9271
,6,0.2315,-0.1063,2.9109
,6,-0.0427,0.1096,2.8912
,6,-0.0853,-0.4387,2.9648
,6,-0.0843,-0.8183,3.0113
,6,-0.0831,-0.8768,2.967
,6,0.1037,0.1179,2.896
,6,0.1321,-0.4384,2.9962
,6,0.1466,-0.8065,3.0481
